generation,parent_idx,lineage_id,m_active,A_delta_fro,condition_number_after,shrink_applied,psd_fallback,active_js,v_norms
12,23,227,2,0.012880813174962508,1.3730268222301478,True,False,"[15, 16]","[0.07547277258625544, 0.07602531802721085]"
13,0,58,1,0.01468656972331963,1.3321564820943304,True,False,[12],[0.04042304346288892]
13,1,86,1,0.014344209692667715,1.5031881294521348,True,False,[5],[0.045244354814241904]
13,3,178,2,0.009376962609840897,1.289322730629417,True,False,"[11, 15]","[0.050436142703875274, 0.10671975469988142]"
13,4,164,2,0.014607605546630792,1.3210086221381365,True,False,"[7, 16]","[0.13223462140924752, 0.1245072468443087]"
13,5,146,1,0.015372021520824605,1.1712901590123592,True,False,[15],[0.05690625273462031]
13,6,186,1,0.014709707372203827,1.2708310267619722,True,False,[8],[0.07393294189266478]
13,8,7,1,0.01543442672295813,1.072328253364017,True,False,[5],[0.06024691087549754]
13,9,289,1,0.024150932338086344,1.503480850562518,True,False,[5],[0.04704211247598295]
13,10,239,1,0.01279752387718923,1.5959588287370938,True,False,[5],[0.03662466001267336]
13,11,156,1,0.01640582267192169,1.3273679949963395,True,False,[5],[0.09076343795523084]
13,12,219,1,0.013644148746125236,1.292520790764223,True,False,[15],[0.11900267438443768]
13,13,174,1,0.014148677632030378,1.6594465740292712,True,False,[5],[0.03900182810398615]
13,14,137,2,0.01278699867617506,1.3218684129985028,True,False,"[7, 8]","[0.10146760658302577, 0.03330843696282717]"
13,15,0,2,0.013647047186120654,1.0836728935077815,True,False,"[15, 16]","[0.02793482969814947, 0.044617392821754615]"
13,16,206,2,0.012801120442368212,1.2688730510039798,True,False,"[8, 12]","[0.12120663428170456, 0.07992161302427817]"
13,17,200,2,0.012169297239448863,1.291508460589124,True,False,"[7, 8]","[0.06908988551618248, 0.047729941339081594]"
13,18,259,3,0.01238331877190756,1.127549691595759,True,False,"[7, 8, 15]","[0.10430206893310318, 0.06463803832345566, 0.10452809778722653]"
13,19,115,2,0.014075207734228627,1.1586473485314317,True,False,"[7, 15]","[0.08342411053796836, 0.11419365141979651]"
13,21,227,1,0.016036041399998632,1.3967119184651664,True,False,[7],[0.09553645191988375]
13,22,283,1,0.014486427556354079,1.1313879636870459,True,False,[7],[0.06658006287525266]
14,0,58,1,0.014935361185120335,1.3419130098303975,True,False,[15],[0.08802698615790419]
14,1,86,1,0.014724908203022006,1.5158483106435345,True,False,[5],[0.06611072306333382]
14,2,154,2,0.011105806383780666,1.2064870022898877,True,False,"[8, 12]","[0.07443753392192291, 0.0855418169170544]"
14,3,178,2,0.009459814183539793,1.3009132345485108,True,False,"[7, 11]","[0.08142609112979109, 0.0625246674853942]"
14,4,164,3,0.012114400670602257,1.318031579804322,True,False,"[7, 12, 15]","[0.14395746959969793, 0.126029777485726, 0.06523634558720535]"
14,5,146,1,0.014523588337888822,1.1993248383050792,True,False,[8],[0.07489254623888188]
14,6,186,2,0.01389235855407822,1.2956753823542504,True,False,"[7, 8]","[0.09241339806557043, 0.10407152097383202]"
14,7,35,1,0.01511555604843096,1.391521542964704,True,False,[5],[0.0685982779428209]
14,8,7,1,0.015603092524143332,1.0749104209437588,True,False,[7],[0.0824875253706094]
14,9,289,1,0.013102822351307967,1.531843967882139,True,False,[7],[0.10221231035025283]
