generation,n_arnold_calls,n_infeasible,n_lambda,infeasibility_rate,n_psd_fallback,n_no_active_js,mean_m_active,mean_A_delta_fro,max_A_delta_fro,any_shrink_applied,n_constraints,per_constraint_violation_count
103,15,15,24,0.625,0,0,1.3333333333333333,0.015918962661626932,0.09439468943891037,True,18,"[0, 0, 0, 0, 0, 2, 1, 10, 3, 0, 0, 0, 2, 0, 0, 2, 0, 0]"
104,10,10,24,0.4166666666666667,0,0,1.2,0.011970258320395928,0.01483489861026015,True,18,"[0, 0, 0, 0, 0, 1, 1, 1, 4, 0, 0, 0, 2, 0, 0, 2, 0, 1]"
105,10,10,24,0.4166666666666667,0,0,1.1,0.011989239865658342,0.014014834837496984,True,18,"[0, 0, 0, 0, 0, 0, 0, 2, 5, 0, 0, 0, 1, 0, 0, 3, 0, 0]"
106,14,14,24,0.5833333333333334,0,0,1.2857142857142858,0.019811711790687893,0.1315542443089368,True,18,"[0, 0, 0, 0, 0, 2, 1, 5, 4, 0, 0, 0, 2, 0, 0, 4, 0, 0]"
107,15,15,24,0.625,0,0,1.2,0.015669799790841224,0.08309408217190883,True,18,"[0, 0, 0, 0, 0, 2, 0, 8, 3, 0, 0, 0, 2, 0, 0, 2, 0, 1]"
108,10,10,24,0.4166666666666667,0,0,1.5,0.010557208703273287,0.0129920991147662,True,18,"[0, 0, 0, 0, 0, 2, 0, 4, 3, 0, 0, 0, 1, 0, 0, 2, 1, 2]"
109,9,9,24,0.375,0,0,1.3333333333333333,0.011128141135108169,0.013487705126199906,True,18,"[0, 0, 0, 0, 0, 1, 0, 1, 4, 0, 0, 0, 1, 0, 0, 4, 0, 1]"
110,9,9,24,0.375,0,0,1.3333333333333333,0.010309420471311679,0.011432086451915605,True,18,"[0, 0, 0, 0, 0, 3, 0, 3, 3, 0, 1, 0, 1, 0, 0, 1, 0, 0]"
111,11,11,24,0.4583333333333333,0,0,1.1818181818181819,0.011544316326258767,0.01460696108995438,True,18,"[0, 0, 0, 0, 0, 2, 0, 3, 2, 0, 0, 0, 2, 0, 0, 2, 0, 2]"
112,11,11,24,0.4583333333333333,0,0,1.0,0.014994267522707501,0.04330637295423965,True,18,"[0, 0, 0, 0, 0, 1, 0, 2, 3, 0, 0, 0, 1, 0, 0, 4, 0, 0]"
113,8,8,24,0.3333333333333333,0,0,1.5,0.010886276036734244,0.014281576286538828,True,18,"[0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 2, 0, 0, 1, 1, 3]"
114,7,7,24,0.2916666666666667,0,0,1.4285714285714286,0.01163331782064063,0.013092019110097629,True,18,"[0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 3, 0, 2]"
115,9,9,24,0.375,0,0,1.7777777777777777,0.010370138269939079,0.013516263179278915,True,18,"[0, 0, 0, 0, 0, 0, 0, 3, 6, 0, 1, 0, 2, 0, 0, 1, 1, 2]"
116,10,10,24,0.4166666666666667,0,0,1.2,0.012206818410334528,0.014343600071736573,True,18,"[0, 0, 0, 0, 0, 2, 0, 3, 2, 0, 0, 0, 1, 0, 0, 0, 1, 3]"
117,10,10,24,0.4166666666666667,0,0,1.2,0.020000949505958706,0.0977362728253288,True,18,"[0, 0, 0, 0, 0, 2, 0, 4, 2, 0, 0, 0, 2, 0, 0, 1, 0, 1]"
118,8,8,24,0.3333333333333333,0,0,1.25,0.010494060880990495,0.012786215340295405,True,18,"[0, 0, 0, 0, 0, 2, 0, 4, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
119,10,10,24,0.4166666666666667,0,0,1.2,0.011752289311297019,0.02500947205469993,True,18,"[0, 0, 0, 0, 0, 5, 0, 2, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1]"
120,11,11,24,0.4583333333333333,0,0,1.2727272727272727,0.010598688241712407,0.01309511395526897,True,18,"[0, 0, 0, 0, 0, 1, 0, 3, 5, 0, 0, 1, 1, 0, 0, 2, 1, 0]"
121,9,9,24,0.375,0,0,1.3333333333333333,0.010557365851413491,0.013358536900827007,True,18,"[0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 2, 0, 0, 2, 0, 0]"
122,10,10,24,0.4166666666666667,0,0,1.1,0.011130296724648662,0.012870508930876257,True,18,"[0, 0, 0, 0, 0, 1, 0, 3, 4, 0, 0, 0, 1, 0, 0, 2, 0, 0]"
123,8,8,24,0.3333333333333333,0,0,1.625,0.010150041159376554,0.012840161473664312,True,18,"[0, 0, 0, 0, 0, 1, 0, 3, 2, 0, 0, 1, 2, 0, 0, 2, 1, 1]"
124,12,12,24,0.5,0,0,1.25,0.011565658773875125,0.014272746078130708,True,18,"[0, 0, 0, 0, 0, 5, 0, 3, 4, 0, 0, 0, 2, 0, 0, 1, 0, 0]"
125,7,7,24,0.2916666666666667,0,0,1.5714285714285714,0.010385749076104808,0.012875191847246002,True,18,"[0, 0, 0, 0, 0, 2, 0, 2, 5, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
126,9,9,24,0.375,0,0,1.5555555555555556,0.010713133359922404,0.014100250983396113,True,18,"[0, 0, 0, 0, 0, 2, 0, 3, 4, 0, 0, 0, 0, 0, 0, 4, 0, 1]"
