generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile
234,0,False,0.7033115802380953,[-294.75025906620016],[0.0],[0.0],0.0,-442.6617597531843,380.8138594637473,161.37573920597274,24,0.0,24,True,0.75
235,0,False,0.7041532028571428,[-278.519750892681],[0.0],[0.0],0.0,-419.4284264198512,404.0471927970804,161.5701099283743,24,0.0,24,True,0.75
236,0,False,0.7040428123809525,[-248.11116969274173],[0.0],[0.0],0.0,-386.4874933944147,427.2805261304139,161.0798007238691,24,0.0,24,True,0.75
237,0,False,0.7040428123809525,[-224.87783635940855],[0.0],[0.0],0.0,-363.2541600610815,450.51385946374705,161.0798007238691,24,0.0,24,True,0.75
238,1,True,0.7040428123809525,[-201.64450302607509],[0.00013163942622930176],[5.263843190039551e-05],-0.00016460348373190784,-340.02082672774804,473.7471927970805,161.07980072386914,24,2.4953611482667086,24,True,0.75
239,2,True,0.7089476851428572,[-189.91465706593715],[0.0],[5.263843190039551e-05],0.0,-316.7874933944146,61.15030821486096,87.38214343486207,24,2.44079248002916,23,True,0.75
240,3,True,0.7097607006428571,[-169.5935478446363],[0.0],[5.263843190039551e-05],0.0,-293.55416006108146,65.17677541160072,71.37578630102875,24,1.9464019925000882,24,True,0.75
241,4,True,0.7164573363571427,[-149.09887620512131],[0.0],[5.263843190039551e-05],0.0,-270.320826727748,-43.166279249969875,51.85890392474504,24,1.5043975916583727,24,True,0.75
242,5,True,0.7157305792142856,[-126.29952863605882],[0.0],[5.263843190039551e-05],0.0,-247.08749339441493,-19.93294591663681,47.394289751034805,24,1.079486831445244,24,True,0.75
243,6,True,0.7157305792142856,[-103.06619530272536],[0.0],[5.263843190039551e-05],0.0,-223.85416006108147,3.300387416696651,47.3942897510348,24,0.7188634088673517,24,True,0.75
244,7,True,0.7170904563214284,[-79.39887620512127],[0.0],[5.263843190039551e-05],0.0,-200.62082672774795,26.53372075003017,47.41268607666787,24,0.4266213645417684,24,True,0.75
245,8,True,0.7149164729880951,[-64.26180761586969],[0.0],[5.263843190039551e-05],0.0,-177.38749339441486,49.76705408336326,42.426642657055105,24,0.2794600707025214,24,True,0.75
246,9,True,0.7179843088690475,[-41.028474282536195],[0.0],[5.263843190039551e-05],0.0,-154.15416006108137,1.2592810879845047,34.95993951016034,24,0.11391597296048817,24,True,0.75
247,10,True,0.7125093562360248,[-20.49497372149017],[0.0],[5.263843190039551e-05],0.0,-141.12769435513178,8.797960214078785,42.639949008207566,24,0.028452822344497142,23,True,0.75
248,11,True,0.7282213335357142,[2.097733633684811],[2.2084281804377428e-05],[5.649716926105337e-05],0.0001706344531431633,-107.68749339441479,32.031293547411906,39.86221114534168,24,0.0002636508090246932,24,True,0.75
249,12,True,0.7447751191836735,[2.107204319741527],[4.58944976283894e-05],[6.063877701661039e-05],0.00023133656901075893,-108.69805256997176,26.02992082989624,42.92169148042324,24,0.00027742557396659873,14,True,0.75
250,13,True,0.7455262838095238,[-9.732326598629157],[0.0],[6.063877701661039e-05],0.0,-85.46471923663867,49.263254163229334,41.479744341916906,24,0.006090956808839725,9,True,0.75
251,14,True,0.769080586857143,[-7.149108678583161],[0.0],[6.063877701661039e-05],0.0,-97.3034210997821,13.501006734704333,26.38310855065555,24,0.0031989973268809445,10,True,0.75
252,15,True,0.7832910033333335,[-25.476095496934704],[0.0],[6.063877701661039e-05],0.0,-75.11249955499943,13.501006734704333,25.776584907117257,24,0.03992732177913635,12,True,0.75
253,16,True,0.7898861953061226,[-3.489958277827327],[0.0],[6.063877701661039e-05],0.0,-85.66342926513062,13.501006734704333,27.09368426500768,24,0.0007492813338610026,14,True,0.75
254,17,True,0.7840293327619048,[-6.201890900325452],[0.0],[6.063877701661039e-05],0.0,-85.66342926513062,13.501006734704333,29.535853944342293,24,0.002366206743740934,15,True,0.75
255,18,True,0.7533412565306122,[-8.549276406281592],[0.0],[6.063877701661039e-05],0.0,-75.11249955499943,13.501006734704333,29.02368493051272,24,0.0044963815843622155,14,True,0.75
256,19,True,0.7533412565306122,[-8.549276406281592],[0.0],[6.063877701661039e-05],0.0,-75.11249955499943,13.501006734704333,29.02368493051272,24,0.0044963815843622155,14,True,0.75
257,20,True,0.7593827730952382,[0.8310580266715988],[1.0078868473440665e-05],[6.508399139574234e-05],3.0851496106055074e-05,-75.11249955499943,13.501006734704333,28.76357047161034,24,4.560273453912249e-05,12,True,0.75
258,21,True,0.7552795421978024,[0.43661579203126166],[1.5762208163802238e-05],[6.985506872674466e-05],1.3540381879328716e-05,-75.11249955499943,13.13942992047214,28.201549308789968,24,1.3509858910269059e-05,13,True,0.75
259,22,True,0.7544804397619047,[0.8310580266715988],[2.7372931277613705e-05],[7.497589687066184e-05],4.86398248875175e-05,-75.11249955499943,13.13942992047214,28.12987293471643,24,5.396355357659245e-05,12,True,0.75
260,23,True,0.7554288875324674,[-17.535168604616047],[0.0],[7.497589687066184e-05],0.0,-75.11249955499943,13.13942992047214,25.881319531756198,24,0.024024686881842772,11,True,0.75
261,24,True,0.7527645659523811,[0.8310580266715988],[1.2461864180253105e-05],[8.047211482318561e-05],3.814586481055831e-05,-75.11249955499943,12.174856745946272,26.18886724881921,24,5.791943092289872e-05,12,True,0.75
262,25,True,0.7530053524675325,[-17.535168604616047],[0.0],[8.047211482318561e-05],0.0,-75.11249955499943,12.174856745946272,25.001190004960453,24,0.025785851747553313,11,True,0.75
263,26,True,0.7492183373809524,[-26.5210608029397],[0.0],[8.047211482318561e-05],0.0,-75.11249955499943,12.174856745946272,25.008355998994883,24,0.05898524283391025,12,True,0.75
