generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile,proxy_front_min_size
232,1,True,0.7330815479880952,[-330.6101876046483],[2.1654974047845985e-05],[8.656000642204031e-06],-2.7087446061780788e-05,-541.0481664695141,32.51611112783928,212.21624165617544,24,1.0107493626210602,24,False,,
233,2,True,0.7310437524642857,[-354.0907223785052],[0.0],[8.656000642204031e-06],0.0,-517.8148331361806,45.286826202545626,188.1382932999547,24,1.1613352335553162,24,False,,
234,3,True,0.7310437524642857,[-330.85738904517166],[0.0],[8.656000642204031e-06],0.0,-494.5814998028471,68.52015953587915,188.1382932999547,24,1.0139351592475392,24,False,,
235,4,True,0.7397516453214287,[-330.59789608776174],[0.0],[8.656000642204031e-06],0.0,-471.34816646951396,91.75349286921227,170.9217776134062,24,1.0123453150246404,24,False,,
236,5,True,0.7422694637738095,[-330.16605933782483],[0.0],[8.656000642204031e-06],0.0,-447.85786228897354,-79.03747708928944,148.0185880305927,24,1.0097023315392848,24,False,,
237,6,True,0.7337388055833335,[-293.25293984240466],[0.0],[8.656000642204031e-06],0.0,-424.62452895564036,-55.80414375595626,150.6236050961133,24,0.7965503920279785,24,False,,
238,7,True,0.7317322851071429,[-274.44009745705193],[0.0],[8.656000642204031e-06],0.0,-401.3911956223069,-32.5708104226228,153.07151115884776,24,0.6976275713771906,24,False,,
239,8,True,0.7307255422500001,[-238.54848358385493],[0.0],[8.656000642204031e-06],0.0,-378.15786228897343,-9.337477089289337,155.700031375797,24,0.5270864197299147,24,False,,
240,9,True,0.7307255422500001,[-215.3151502505218],[0.0],[8.656000642204031e-06],0.0,-354.9245289556403,13.895856244043784,155.700031375797,24,0.42941546884031834,24,False,,
241,10,True,0.7307255422500001,[-192.08181691718835],[0.0],[8.656000642204031e-06],0.0,-331.69119562230685,37.12918957737725,155.700031375797,24,0.3417440931087062,24,False,,
242,11,True,0.7220858370357144,[-155.7114829463443],[0.0],[8.656000642204031e-06],0.0,-308.4578622889738,60.36252291071031,157.6459814738285,24,0.22457933325587573,24,False,,
243,12,True,0.7220858370357144,[-132.4781496130108],[0.0],[8.656000642204031e-06],0.0,-285.2245289556403,83.59585624404377,157.6459814738285,24,0.1625612437896735,24,False,,
244,13,True,0.7312716658452381,[-140.42296622407994],[0.0],[8.656000642204031e-06],0.0,-261.9911956223068,106.72578943982398,145.65995654683024,24,0.1826437400543627,24,False,,
245,14,True,0.7308496525119046,[-128.01384487849924],[0.0],[8.656000642204031e-06],0.0,-238.7578622889737,119.79354838710967,136.43400640840136,24,0.1517897305520484,24,False,,
246,15,True,0.7335853128214286,[-145.05051632149647],[0.0],[8.656000642204031e-06],0.0,-215.78149980284718,101.17983531028801,109.26509683825282,24,0.19487990742324698,24,False,,
247,16,True,0.7357870539523809,[-146.20717335192492],[0.0],[8.656000642204031e-06],0.0,-192.54816646951372,124.41316864362147,82.23136700293085,24,0.19800030914402086,24,False,,
248,17,True,0.7330593641666666,[-145.17224785067143],[0.0],[8.656000642204031e-06],0.0,-169.3148331361806,-92.50121584997737,21.410947806912148,24,0.195207144917342,24,False,,
249,18,True,0.7360065451190475,[-120.29324192205372],[0.0],[8.656000642204031e-06],0.0,-146.08149980284713,-69.26788251664391,21.96719546680451,24,0.13403276140836382,24,False,,
